Verkooporderregel artikel.Artikel.Artikelcode,Omschrijving_standaard_artikelen,Priority,ArticleType,Aantal_orders_5jr,Totale_kosten_5jr,Aantal_klantlocaties_5jr,Annual_Use,Annual_Use_genormaliseerd,Aandeel_pct,Cumulatief_pct,ABC_categorie,Aandeel,Cumulatief_aandeel,Totaal_orders_5jr,Gem_orders_per_klantlocatie_5jr,Max_orders_op_1_klantlocatie_5jr,Aantal_klantlocaties_met_orders_5jr,Incourant,Artikelcode,Standaard verkoopprijs,Engineering status,Hoofdleverancier.Relatie,Artikelgroep,Inkoopprijs (standaard),Hoofdleverancier.Levertijd,MTBF(years),Hoofdleverancier.Bestelhoeveelheid,Laatste_order_datum,Unnamed: 29
000616511,Round belt,3,Wear,1.0,45.14,1.0,9.028,9.028,0.001786511394501,99.7752347811026,C,1.786511394501009e-05,0.997752347811026,1.0,1.0,1.0,1.0,Uitgeschakeld,000616511,54.87,Custom Approved,Forbo Siegling Nederland B.V.,350-Conveyor," 14,83",0 dagen,5.0,0.0,2026-02-23,
000403981,Trekveer,2,Wear,1.0,34.71,1.0,6.942,6.942,0.0013737219872204,99.86870302442335,C,1.373721987220426e-05,0.9986870302442336,1.0,1.0,1.0,1.0,Uitgeschakeld,000403981,55.12,Custom approved,Amatec B.V.,700-General parts," 27,56",0 dagen,5.0,1.0,2025-06-27,
SLANERI25ABRA355,Vacuum hose,2,Wear,1.0,326.2,1.0,65.24,65.24,0.0129100579726679,95.55305599071004,C,0.0001291005797266,0.9555305599071005,1.0,1.0,1.0,1.0,Uitgeschakeld,SLANERI25ABRA355,55.2,Custom Approved,THM Gaasbeek B.V.,560-Vacuum component," 27,60",0 dagen,1.0,1.0,2023-10-16,
000772449,"Cylinder, round",1,Critical,1.0,45.71,1.0,9.142,9.142,0.0018090703553974,99.7662545501857,C,1.809070355397455e-05,0.9976625455018572,1.0,1.0,1.0,1.0,Uitgeschakeld,000772449,55.9,Custom Approved,Festo B.V.,510-Cylinder," 27,95",0 dagen,8.0,0.0,2025-08-13,
RIETGAT0640-8MR50,Toothed belt endless,3,Wear,1.0,32.94,1.0,6.587999999999999,6.587999999999999,0.0013036704770683,99.88875310377858,C,1.303670477068304e-05,0.9988875310377858,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETGAT0640-8MR50,56.64,Custom Approved,Ammertech B.V.,360-Drive belt," 28,32",0 dagen,5.0,1.0,2024-02-20,
CILDFES40060DSNU,"Cylinder, round",1,Critical,21.0,1322.54,21.0,264.508,12.59561904761905,0.0024924919084365,99.5813304441223,C,2.492491908436573e-05,0.9958133044412232,21.0,1.0,1.0,21.0,Uitgeschakeld,CILDFES40060DSNU,57.08,Standard Approved,Festo B.V.,510-Cylinder," 28,54",21 dagen,8.0,1.0,2026-04-23,
000632271,"Cylinder, round",1,Critical,1.0,45.41,1.0,9.082,9.082,0.0017971972180835,99.76986060338308,C,1.797197218083536e-05,0.9976986060338308,1.0,1.0,1.0,1.0,Uitgeschakeld,000632271,57.08,Custom Approved,Festo B.V.,510-Cylinder," 28,54",0 dagen,8.0,0.0,2025-12-15,
SCHVSCHAZ16ZVR#A,Security switch,2,Critical,4.0,299.68,3.0,59.936,19.97866666666667,0.0039534908780391,99.12699609063768,C,3.953490878039155e-05,0.9912699609063768,4.0,1.333333333333333,2.0,3.0,Uitgeschakeld,SCHVSCHAZ16ZVR#A,57.18,Standard approved,Schmersal Nederland B.V.,660-Sensor and lighting," 29,31",25 dagen,10.0,15.0,2024-02-28,
RIETAMM12808MP30,Toothed belt endless,3,Wear,27.0,2173.75,19.0,434.75,22.88157894736842,0.004527935480023,98.93837159739113,C,4.527935480023049e-05,0.9893837159739112,27.0,1.421052631578947,6.0,19.0,Uitgeschakeld,RIETAMM12808MP30,57.2,Standard Approved,Ammertech B.V.,360-Drive belt," 28,84",0 dagen,5.0,1.0,2026-04-22,
000582159,Solenoid valve 5/2 monostable,2,Wear,1.0,50.58,1.0,10.116,10.116,0.0020018109511267,99.7285860289686,C,2.00181095112674e-05,0.997285860289686,1.0,1.0,1.0,1.0,Uitgeschakeld,000582159,57.22,Custom Approved,Festo B.V.,550-Valves," 28,61",0 dagen,8.0,0.0,2024-12-06,
000401792,Toothed belt endless,3,Wear,1.0,38.9,1.0,7.779999999999999,7.779999999999999,0.0015395501383714,99.82828713226034,C,1.539550138371494e-05,0.9982828713226034,1.0,1.0,1.0,1.0,Uitgeschakeld,000401792,57.7,Custom Approved,Ammertech B.V.,360-Drive belt," 28,85",0 dagen,3.0,0.0,2022-04-29,
000271149,"Cylinder, round",1,Critical,3.0,152.55,3.0,30.51,10.17,0.0020124967747092,99.72257347223284,C,2.012496774709267e-05,0.9972257347223284,3.0,1.0,1.0,3.0,Uitgeschakeld,000271149,57.86,Standard Approved,Festo B.V.,510-Cylinder," 28,93",0 dagen,8.0,1.0,2024-08-05,
CILDFES04030ADN,"Cylinder, compact",1,Critical,14.0,937.97,8.0,187.594,23.44925,0.0046402694193069,98.9109528633172,C,4.64026941930691e-05,0.989109528633172,14.0,1.75,5.0,8.0,Uitgeschakeld,CILDFES04030ADN,58.38,Standard Approved,Festo B.V.,510-Cylinder," 29,19",21 dagen,8.0,1.0,2025-12-15,
000292298,"Safety sensor, limit switch",1,Critical,4.0,183.15,4.0,36.63,9.1575,0.0018121375825368,99.76444547983031,C,1.812137582536884e-05,0.9976444547983032,4.0,1.0,1.0,4.0,Uitgeschakeld,000292298,58.38,Standard Approved,Schmersal Nederland B.V.,660-Sensor and lighting," 30,00",0 dagen,10.0,1.0,2026-03-10,
000436327,"Cylinder, compact",1,Critical,4.0,260.11,3.0,52.02200000000001,17.34066666666667,0.0034314686074705,99.27929113531974,C,3.431468607470518e-05,0.9927929113531974,4.0,1.333333333333333,2.0,3.0,Uitgeschakeld,000436327,58.64,Custom Approved,Festo B.V.,510-Cylinder," 29,32",0 dagen,8.0,1.0,2026-03-02,
000278572,Pressure spring,2,Wear,6.0,334.23,6.0,66.846,11.141,0.0022046437135728,99.68280975388925,C,2.204643713572856e-05,0.9968280975388925,6.0,1.0,1.0,6.0,Uitgeschakeld,000278572,58.74,Custom approved Racupack,Amatec B.V.,700-General parts," 29,37",0 dagen,5.0,1.0,2026-01-19,
000271425,"Cylinder, round",1,Critical,2.0,41.34,2.0,8.268,4.134,0.000818059160929,99.97072622885696,C,8.180591609290177e-06,0.9997072622885697,2.0,1.0,1.0,2.0,Uitgeschakeld,000271425,58.88,Custom Approved Racupack,Festo B.V.,510-Cylinder," 29,44",0 dagen,8.0,1.0,2025-08-29,
000547968,"Cylinder, round",1,Critical,1.0,47.12,1.0,9.424,9.424,0.0018648741007728,99.75346246314,C,1.864874100772874e-05,0.9975346246314,1.0,1.0,1.0,1.0,Uitgeschakeld,000547968,59.22,Custom Approved,Festo B.V.,510-Cylinder," 29,61",0 dagen,8.0,0.0,2025-01-16,
000454458,Rondsnaar,Onbekend,Onbekend,2.0,508.64,2.0,101.728,50.864,0.0100652542722529,97.06313480384232,C,0.0001006525427225,0.9706313480384232,2.0,1.0,1.0,2.0,Uitgeschakeld,000454458,59.5,Custom Approved,Forbo Siegling Nederland B.V.,350-Conveyor," 16,08",0 dagen,5.0,1.0,2023-02-21,
000771149,"Cylinder, compact",1,Critical,1.0,53.59,1.0,10.718,10.718,0.0021209380955097,99.69786451043922,C,2.120938095509727e-05,0.9969786451043922,1.0,1.0,1.0,1.0,Uitgeschakeld,000771149,59.54,Custom Approved,Festo B.V.,510-Cylinder," 29,77",0 dagen,8.0,0.0,2025-09-24,
NID_DBR-100R-100W,Brake resistor 100R 100W IP54,1,Critical,4.0,249.29,4.0,49.858,12.4645,0.0024665453341557,99.5937048688454,C,2.466545334155719e-05,0.995937048688454,4.0,1.0,1.0,4.0,Uitgeschakeld,NID_DBR-100R-100W,60.0,Custom Approved,Nidec Netherlands B.V.,610-Motor control," 30,00",0 dagen,8.0,0.0,2025-12-15,
000466187,Toothed belt endless,3,Wear,15.0,794.5899999999999,15.0,158.918,10.59453333333333,0.0020965058173926,99.70207443469847,C,2.09650581739264e-05,0.9970207443469848,15.0,1.0,1.0,15.0,Uitgeschakeld,000466187,60.16,Standard Approved,Ammertech B.V.,360-Drive belt," 30,33",0 dagen,3.0,0.0,2026-04-22,
000239879,Air pressure regulator,3,Critical,11.0,662.26,10.0,132.452,13.2452,0.0026210346391719,99.55850009172956,C,2.621034639171995e-05,0.9955850009172956,11.0,1.1,2.0,10.0,Uitgeschakeld,000239879,60.36,Standard Approved,Festo B.V.,500-Air supply," 30,18",0 dagen,10.0,1.0,2026-02-20,
FES_M52ATQ8U1R8L,Solenoid valve 5/2 monostable,2,Wear,4.0,269.76,4.0,53.952,13.488,0.0026690812681689,99.5320126794431,C,2.669081268168986e-05,0.995320126794431,4.0,1.0,1.0,4.0,Uitgeschakeld,FES_M52ATQ8U1R8L,61.18,Custom Approved Racupack,Festo B.V.,550-Valves," 30,59",0 dagen,8.0,1.0,2025-11-17,
000378862,"Cylinder, round",1,Critical,1.0,52.59,1.0,10.518,10.518,0.0020813609711299,99.70833731674595,C,2.081360971129997e-05,0.9970833731674597,1.0,1.0,1.0,1.0,Uitgeschakeld,000378862,61.22,Custom Approved,Festo B.V.,510-Cylinder," 30,61",0 dagen,8.0,1.0,2023-10-25,
000465465,"Spring, tension",2,Wear,10.0,10309.88,2.0,2061.976,1030.988,0.204017701550045,23.8441474367496,A,0.0020401770155004,0.238441474367496,10.0,5.0,6.0,2.0,Uitgeschakeld,000465465,61.5,Custom Approved,ATV Springs,700-General parts," 23,82",0 dagen,5.0,0.0,2026-05-01,
000355449,"Photocell, diffused-reflective",2,Critical,1.0,47.71,1.0,9.542,9.542,0.0018882246041569,99.74409717650867,C,1.888224604156915e-05,0.997440971765087,1.0,1.0,1.0,1.0,Uitgeschakeld,000355449,61.52,Custom Approved,Omron Electronics B.V.,660-Sensor and lighting," 30,76",0 dagen,10.0,1.0,2023-10-25,
RIETGAT-5MR25,Gear belt,3,Wear,21.0,2928.46,16.0,585.692,36.60575,0.0072437516038164,98.1162819093216,C,7.243751603816496e-05,0.981162819093216,21.0,1.3125,3.0,16.0,Uitgeschakeld,RIETGAT-5MR25,62.41,Standard Approved,Eriks B.V.,360-Drive belt," 31,20",21 dagen,3.0,1.0,2026-02-20,
000550495,"Cylinder, clamping",1,Critical,1.0,49.78,1.0,9.956,9.956,0.0019701492516229,99.73253176932644,C,1.970149251622956e-05,0.9973253176932644,1.0,1.0,1.0,1.0,Uitgeschakeld,000550495,62.56,Custom Approved,Festo B.V.,510-Cylinder," 31,28",0 dagen,8.0,0.0,2024-05-15,
000410831,Solenoid valve 5/2,2,Wear,13.0,2271.64,12.0,454.328,37.86066666666667,0.0074920815688308,98.0500333725468,C,7.492081568830808e-05,0.980500333725468,13.0,1.083333333333333,2.0,12.0,Uitgeschakeld,000410831,62.62,Custom Approved,Festo B.V.,550-Valves," 31,31",0 dagen,8.0,1.0,2026-03-09,
FOTOOMRE3FA-DP21,"Photocell, diffused-reflective",2,Critical,28.0,2099.78,22.0,419.956,19.08890909090909,0.0037774206468213,99.1890913334066,C,3.777420646821333e-05,0.991890913334066,28.0,1.272727272727273,2.0,22.0,Uitgeschakeld,FOTOOMRE3FA-DP21,62.76,Custom Approved,Omron Electronics B.V.,660-Sensor and lighting," 32,34",0 dagen,10.0,1.0,2026-05-01,
FOTOOMRE3F2DS10#B,Photocell,2,Critical,2.0,88.05000000000001,1.0,17.61,17.61,0.0034847658016352,99.26202911549996,C,3.484765801635221e-05,0.9926202911549996,2.0,2.0,2.0,1.0,Uitgeschakeld,FOTOOMRE3F2DS10#B,62.76,Custom approved,Omron Electronics B.V.,660-Sensor and lighting," 31,38",21 dagen,10.0,1.0,2025-08-15,
000434327,"Cylinder, compact",1,Critical,1.0,51.48,1.0,10.296,10.296,0.0020374303630684,99.71651540180405,C,2.037430363068497e-05,0.9971651540180404,1.0,1.0,1.0,1.0,Uitgeschakeld,000434327,63.22,Custom Approved,Festo B.V.,510-Cylinder," 31,61",0 dagen,8.0,1.0,2021-10-01,
CILDFESADN16-180,"Cylinder, compact",1,Critical,4.0,317.08,2.0,63.416,31.708,0.0062745572991623,98.37382896200845,C,6.274557299162383e-05,0.9837382896200844,4.0,2.0,3.0,2.0,Uitgeschakeld,CILDFESADN16-180,63.4,Standard Approved,Festo B.V.,510-Cylinder," 31,70",0 dagen,8.0,1.0,2026-04-02,
000377480,Toothed belt endless,3,Wear,5.0,489.87,4.0,97.974,24.4935,0.0048469114799745,98.87805868897092,C,4.846911479974576e-05,0.9887805868897092,5.0,1.25,2.0,4.0,Uitgeschakeld,000377480,63.5,Custom Approved,Ammertech B.V.,360-Drive belt," 31,75",0 dagen,3.0,1.0,2025-12-15,
BECK_ZB8110,Remweerstand 10-ohm 100W,Onbekend,Onbekend,2.0,114.39,2.0,22.878,11.439,0.0022636136288986,99.6717119984038,C,2.263613628898653e-05,0.996717119984038,2.0,1.0,1.0,2.0,Uitgeschakeld,BECK_ZB8110,63.7,Custom approved,Beckhoff Automation B.V.,"699-Electro part, Miscellaneous"," 31,85",0 dagen,8.0,1.0,2025-12-03,
CILDFES32080ADN,"Cylinder, compact",1,Critical,1.0,50.7,1.0,10.14,10.14,0.0020065602060523,99.72458003243888,C,2.006560206052308e-05,0.9972458003243888,1.0,1.0,1.0,1.0,Uitgeschakeld,CILDFES32080ADN,63.72,Custom Approved,Festo B.V.,510-Cylinder," 31,86",21 dagen,8.0,1.0,2024-05-15,
000309500,Toothed belt endless,3,Wear,4.0,492.6,3.0,98.52,32.84,0.0064985638231516,98.32906248508006,C,6.498563823151655e-05,0.9832906248508004,4.0,1.333333333333333,2.0,3.0,Uitgeschakeld,000309500,63.72,Custom Approved Racupack,Ammertech B.V.,360-Drive belt," 33,45",40 dagen,3.0,1.0,2023-10-25,
FES_M52AZTQ8U1R8L,Solenoid valve 5/2 monostable,2,Wear,7.0,365.37,6.0,73.074,12.179,0.0024100489891036,99.6180369978771,C,2.410048989103654e-05,0.996180369978771,7.0,1.166666666666667,2.0,6.0,Uitgeschakeld,FES_M52AZTQ8U1R8L,63.72,Custom Approved,Festo B.V.,550-Valves," 31,86",0 dagen,8.0,1.0,2024-12-20,
000427763,"Valve, pressure regulator",2,Wear,23.0,1312.85,21.0,262.5700000000001,12.50333333333334,0.0024742298924727,99.58877148134866,C,2.474229892472783e-05,0.9958877148134866,23.0,1.095238095238095,2.0,21.0,Uitgeschakeld,000427763,64.04,Standard Approved,Festo B.V.,550-Valves," 32,02",0 dagen,2.0,1.0,2026-03-09,
000271575,"Spring, pressure",2,Wear,2.0,655.11,2.0,131.022,65.511,0.0129636849762024,95.5013221589202,C,0.000129636849762,0.955013221589202,2.0,1.0,1.0,2.0,Uitgeschakeld,000271575,64.18,Custom Approved,ATV Springs,700-General parts," 32,09",0 dagen,5.0,1.0,2024-10-29,
000327911,"Photocell, diffused-reflective",2,Critical,30.0,2153.26,18.0,430.652,23.92511111111111,0.0047344354912165,98.89231297769103,C,4.734435491216516e-05,0.9889231297769104,30.0,1.666666666666667,5.0,18.0,Uitgeschakeld,000327911,64.68,Custom Approved,Omron Electronics B.V.,660-Sensor and lighting," 32,34",0 dagen,10.0,1.0,2026-03-24,
000318007,"Cylinder, compact",1,Critical,2.0,105.61,2.0,21.122,10.561,0.0020898700528716,99.70625595577482,C,2.089870052871639e-05,0.9970625595577484,2.0,1.0,1.0,2.0,Uitgeschakeld,000318007,64.7,Custom Approved Racupack,Festo B.V.,510-Cylinder," 32,35",0 dagen,8.0,1.0,2023-04-21,
RIETGAT0800-8MR50,Toothed belt endless,3,Wear,1.0,37.81,1.0,7.562,7.562,0.0014964110727975,99.83739060045409,C,1.496411072797589e-05,0.9983739060045408,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETGAT0800-8MR50,65.0,Custom Approved,Ammertech B.V.,360-Drive belt," 32,50",0 dagen,5.0,1.0,2024-02-20,
000286603,"Spring, tension",2,Wear,1.0,1978.29,1.0,395.658,395.658,0.0782950293891759,52.69437668923059,A,0.0007829502938917,0.5269437668923059,1.0,1.0,1.0,1.0,Uitgeschakeld,000286603,65.3,Custom Approved,ATV Springs,700-General parts," 32,65",0 dagen,5.0,1.0,2022-03-24,
000623939,"Cylinder, round",1,Critical,1.0,56.12,1.0,11.224,11.224,0.0022210682201904,99.67618606039116,C,2.221068220190444e-05,0.9967618606039116,1.0,1.0,1.0,1.0,Uitgeschakeld,000623939,65.34,Custom Approved,Festo B.V.,510-Cylinder," 32,67",0 dagen,8.0,0.0,2023-10-25,
CILEFESEV3205,"Cylinder, clamping module",1,Critical,14.0,2923.01,10.0,584.602,58.4602,0.0115684330333194,96.40421041854604,C,0.0001156843303331,0.9640421041854604,14.0,1.4,3.0,10.0,Uitgeschakeld,CILEFESEV3205,65.68,Standard Approved,Festo B.V.,510-Cylinder," 32,84",0 dagen,8.0,1.0,2026-02-27,
000338525,Solenoid valve 2/2 norm. closed,2,Wear,1.0,55.45,1.0,11.09,11.09,0.002194551546856,99.68720423947188,C,2.194551546856025e-05,0.9968720423947188,1.0,1.0,1.0,1.0,Uitgeschakeld,000338525,66.02,Standard Approved,Festo B.V.,550-Valves," 33,01",0 dagen,8.0,1.0,2024-06-28,
KOPPROB100641,Coupling hotmelt,Onbekend,Onbekend,1.0,34.8,1.0,6.959999999999999,6.959999999999999,0.0013772839284146,99.86732930243612,C,1.377283928414601e-05,0.9986732930243614,1.0,1.0,1.0,1.0,Uitgeschakeld,KOPPROB100641,66.4,Custom approved,Robatech B.V.,700-General parts," 33,20",21 dagen,5.0,1.0,2025-01-27,
000724211,Toothed belt endless,3,Wear,1.0,118.31,1.0,23.662,23.662,0.0046823695853658,98.89699534727642,C,4.682369585365848e-05,0.9889699534727642,1.0,1.0,1.0,1.0,Uitgeschakeld,000724211,66.92,Custom Approved,Ammertech B.V.,360-Drive belt," 33,46",0 dagen,5.0,0.0,2025-03-04,
000342462,Photoelectric sensor,Onbekend,Onbekend,1.0,114.9,1.0,22.98,22.98,0.0045474115912309,98.9338436619111,C,4.547411591230969e-05,0.989338436619111,1.0,1.0,1.0,1.0,Uitgeschakeld,000342462,67.08,Custom approved,Omron Electronics B.V.,660-Sensor and lighting," 33,54",0 dagen,10.0,1.0,2023-11-02,100.0
000560798,"Cylinder, round",1,Critical,1.0,52.85,1.0,10.57,10.57,0.0020916510234687,99.70416608572197,C,2.091651023468727e-05,0.9970416608572196,1.0,1.0,1.0,1.0,Uitgeschakeld,000560798,67.12,Custom Approved,Festo B.V.,510-Cylinder," 33,56",0 dagen,8.0,0.0,2022-06-23,
000773005,Solenoid valve on manifold base 3/2,2,Wear,1.0,59.56,1.0,11.912,11.912,0.0023572135280567,99.639463575992,C,2.357213528056715e-05,0.9963946357599202,1.0,1.0,1.0,1.0,Uitgeschakeld,000773005,67.38,Custom Approved,Festo B.V.,550-Valves," 33,69",0 dagen,8.0,0.0,2024-10-28,
SLANERI50ABRAFLEX,Vacuum hose,2,Wear,6.0,2539.07,5.0,507.814,101.5628,0.0200978178397681,89.5209567406155,B,0.0002009781783976,0.895209567406155,6.0,1.2,2.0,5.0,Uitgeschakeld,SLANERI50ABRAFLEX,67.44,Custom Approved,THM Gaasbeek B.V.,560-Vacuum component," 33,72",21 dagen,1.0,1.0,2026-05-08,
000289371,Kettingmeenemer,2,Wear,28.0,32554.62,6.0,6510.924,1085.154,0.2147363741458073,22.16537486909132,A,0.002147363741458,0.2216537486909132,28.0,4.666666666666667,17.0,6.0,Uitgeschakeld,000289371,67.49,Custom approved Racupack,Novi Kunststoffen,190-Plastic parts," 16,10",0 dagen,5.0,1.0,2026-03-20,
000286291,"Cylinder, round",1,Critical,18.0,1385.97,10.0,277.194,27.7194,0.0054852707076574,98.64586646871406,C,5.48527070765743e-05,0.9864586646871406,18.0,1.8,4.0,10.0,Uitgeschakeld,000286291,67.88,Standard Approved,Festo B.V.,510-Cylinder," 33,94",0 dagen,8.0,1.0,2026-04-30,
000271307,Double acting cylinder,1,Critical,1.0,42.89,1.0,8.578,8.578,0.0016974628646466,99.79441628989848,C,1.697462864646617e-05,0.9979441628989848,1.0,1.0,1.0,1.0,Uitgeschakeld,000271307,67.88,Custom approved Racupack,Festo B.V.,510-Cylinder," 33,94",0 dagen,8.0,1.0,2022-08-01,100.0
000351445,Toothed belt endless,3,Wear,1.0,54.11,1.0,10.822,10.822,0.0021415182001871,99.69149400398338,C,2.141518200187186e-05,0.9969149400398338,1.0,1.0,1.0,1.0,Uitgeschakeld,000351445,68.0,Custom Approved,Ammertech B.V.,360-Drive belt," 34,00",0 dagen,3.0,1.0,2024-05-15,
000647187,"Cylinder, round",1,Critical,1.0,68.42,1.0,13.684,13.684,0.0027078668500611,99.51860021626118,C,2.707866850061122e-05,0.9951860021626118,1.0,1.0,1.0,1.0,Uitgeschakeld,000647187,68.42,Custom Approved,Festo B.V.,510-Cylinder," 34,21",0 dagen,10.0,0.0,2026-03-26,100.0
000267994,"Photocell, retro-reflective",2,Critical,55.0,7178.62,41.0,1435.724,35.01765853658537,0.0069294911369467,98.19382110626712,C,6.929491136946753e-05,0.9819382110626712,55.0,1.341463414634146,5.0,41.0,Uitgeschakeld,000267994,68.56,Standard Approved,Omron Electronics B.V.,660-Sensor and lighting," 35,32",0 dagen,10.0,1.0,2026-05-21,100.0
000461754,Toothed belt endless,3,Wear,19.0,1264.12,19.0,252.824,13.30652631578947,0.0026331702353107,99.55587905709038,C,2.633170235310747e-05,0.9955587905709038,19.0,1.0,1.0,19.0,Uitgeschakeld,000461754,68.76,Standard Approved,Ammertech B.V.,360-Drive belt," 34,67",0 dagen,3.0,0.0,2026-04-22,
000362037,PolyVee belt endless,3,Wear,3.0,642.0,1.0,128.4,128.4,0.0254085138517866,85.67523916879072,B,0.0002540851385178,0.8567523916879073,3.0,3.0,3.0,1.0,Uitgeschakeld,000362037,69.0,Custom Approved,Ammertech B.V.,360-Drive belt," 34,50",0 dagen,5.0,1.0,2026-01-28,
000755963,Round belt,3,Wear,2.0,1391.2,1.0,278.24,278.24,0.0550596954370802,65.03007855029223,A,0.0005505969543708,0.6503007855029224,2.0,2.0,2.0,1.0,Uitgeschakeld,000755963,69.56,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 18,80",0 dagen,5.0,0.0,2026-04-28,
000502242,Rol.ketting,3,Wear,1.0,62.64,1.0,12.528,12.528,0.0024791110711462,99.5862972514562,C,2.479111071146283e-05,0.995862972514562,1.0,1.0,1.0,1.0,Uitgeschakeld,000502242,69.6,Custom Approved,Tsubakimoto Europe B.V.,300-Chain," 49,80",0 dagen,10.0,0.0,2026-01-19,
VENMFESVUVG5-2-#A,Solenoid valve 5/2 bistable,2,Wear,16.0,1457.64,11.0,291.528,26.50254545454546,0.0052444726891699,98.7315800914099,C,5.244472689169958e-05,0.987315800914099,16.0,1.454545454545455,3.0,11.0,Uitgeschakeld,VENMFESVUVG5-2-#A,69.86,Standard Approved,Festo B.V.,550-Valves," 34,93",21 dagen,8.0,1.0,2026-04-22,
000357113,"Cylinder, compact with guide",1,Critical,1.0,61.8,1.0,12.36,12.36,0.0024458662866673,99.6010713590062,C,2.44586628666731e-05,0.996010713590062,1.0,1.0,1.0,1.0,Uitgeschakeld,000357113,69.9,Custom Approved,Festo B.V.,510-Cylinder," 34,95",0 dagen,8.0,1.0,2024-08-05,
000250705,"Cable, signal",3,Critical,45.0,3269.19,38.0,653.838,17.20626315789474,0.0034048720855518,99.28269600740528,C,3.404872085551823e-05,0.9928269600740528,45.0,1.184210526315789,3.0,38.0,Uitgeschakeld,000250705,70.42,Standard Approved,Linak Actuator-Systems B.V.,330-Linear motion," 35,21",0 dagen,10.0,1.0,2026-04-22,
000512210,3D printed part suction cup G1/4,2,Consumable,7.0,902.55,2.0,180.51,90.255,0.0178601668044626,91.67357718347134,B,0.0001786016680446,0.9167357718347134,7.0,3.5,6.0,2.0,Uitgeschakeld,000512210,71.45,Custom Approved,Oceanz B.V.,192-3D-print," 19,31",0 dagen,0.0,0.0,2025-09-08,
000271299,"Cylinder, compact",1,Critical,17.0,2019.67,14.0,403.934,28.85242857142857,0.0057094807711435,98.55166486813238,C,5.70948077114351e-05,0.9855166486813236,17.0,1.214285714285714,2.0,14.0,Uitgeschakeld,000271299,72.24,Custom Approved,Festo B.V.,510-Cylinder," 36,12",0 dagen,8.0,1.0,2026-04-30,
000271394,"Cylinder, standard",1,Critical,3.0,442.5,3.0,88.5,29.5,0.0058376258460101,98.49392096731172,C,5.837625846010165e-05,0.9849392096731172,3.0,1.0,1.0,3.0,Uitgeschakeld,000271394,72.26,Custom Approved,Festo B.V.,510-Cylinder," 36,13",0 dagen,8.0,1.0,2023-04-21,
000540618,"Cylinder, compact",1,Critical,8.0,470.45,7.0,94.09,13.44142857142857,0.0026598654520634,99.54000284854538,C,2.659865452063421e-05,0.9954000284854538,8.0,1.142857142857143,2.0,7.0,Uitgeschakeld,000540618,72.32,Standard Approved,Festo B.V.,510-Cylinder," 36,16",0 dagen,8.0,0.0,2025-10-08,
SCHDNORVH0880300,Pressure switch pneumatic,2,Critical,1.0,61.01,1.0,12.202,12.202,0.0024146003584073,99.615626948888,C,2.414600358407323e-05,0.99615626948888,1.0,1.0,1.0,1.0,Uitgeschakeld,SCHDNORVH0880300,72.64,Custom approved,Norgren B.V.,"530-Electric, accessory"," 36,32",25 dagen,10.0,1.0,2023-09-04,
000612901,Toothed belt endless,3,Wear,1.0,64.48,1.0,12.896,12.896,0.0025519329800049,99.56876095073152,C,2.551932980004986e-05,0.9956876095073152,1.0,1.0,1.0,1.0,Uitgeschakeld,000612901,72.94,Custom Approved,Ammertech B.V.,360-Drive belt," 36,47",0 dagen,5.0,0.0,2025-01-10,
000675593,"Photocell, diffused-reflective",2,Critical,3.0,204.28,3.0,40.85599999999999,13.61866666666666,0.0026949383227637,99.52399688697972,C,2.694938322763743e-05,0.9952399688697972,3.0,1.0,1.0,3.0,Uitgeschakeld,000675593,72.96,Standard Approved,Omron Electronics B.V.,660-Sensor and lighting," 37,60",0 dagen,10.0,0.0,2026-04-14,
CILDFES32050NC#A,"Cylinder, standard",1,Critical,25.0,1476.98,22.0,295.396,13.42709090909091,0.0026570282348351,99.54265987678022,C,2.65702823483516e-05,0.9954265987678022,25.0,1.136363636363636,3.0,22.0,Uitgeschakeld,CILDFES32050NC#A,73.16,Standard Approved,Festo B.V.,510-Cylinder," 36,58",21 dagen,8.0,1.0,2025-12-30,
000498276,Solenoid valve 2x 3/2 norm. closed,2,Wear,2.0,183.8,2.0,36.76000000000001,18.38,0.0036371377304971,99.23373831746866,C,3.637137730497181e-05,0.9923373831746868,2.0,1.0,1.0,2.0,Uitgeschakeld,000498276,73.22,Custom Approved,Festo B.V.,550-Valves," 36,61",0 dagen,8.0,0.0,2024-12-20,
000271398,"Cylinder, standard",1,Critical,12.0,767.79,11.0,153.558,13.95981818181818,0.0027624473025011,99.50223786928667,C,2.762447302501168e-05,0.9950223786928668,12.0,1.090909090909091,2.0,11.0,Uitgeschakeld,000271398,73.52,Custom Approved,Festo B.V.,510-Cylinder," 36,76",0 dagen,8.0,1.0,2026-03-20,
VALVSOL-00000009,Solenoid valve 3/2 norm. closed,2,Wear,23.0,1500.32,21.0,300.064,14.2887619047619,0.0028275405356855,99.48543192699644,C,2.827540535685543e-05,0.9948543192699646,23.0,1.095238095238095,2.0,21.0,Uitgeschakeld,VALVSOL-00000009,73.74,Standard Approved,Festo B.V.,550-Valves," 36,87",0 dagen,8.0,1.0,2025-10-08,100.0
