Verkooporderregel artikel.Artikel.Artikelcode,Omschrijving_standaard_artikelen,Priority,ArticleType,Aantal_orders_5jr,Totale_kosten_5jr,Aantal_klantlocaties_5jr,Annual_Use,Annual_Use_genormaliseerd,Aandeel_pct,Cumulatief_pct,ABC_categorie,Aandeel,Cumulatief_aandeel,Totaal_orders_5jr,Gem_orders_per_klantlocatie_5jr,Max_orders_op_1_klantlocatie_5jr,Aantal_klantlocaties_met_orders_5jr,Incourant,Artikelcode,Standaard verkoopprijs,Engineering status,Hoofdleverancier.Relatie,Artikelgroep,Inkoopprijs (standaard),Hoofdleverancier.Levertijd,MTBF(years),Hoofdleverancier.Bestelhoeveelheid,Laatste_order_datum,Unnamed: 29
BECK_AX8206-0100,Servo Controller 2x6A STO,3,Wear,4.0,4944.559999999999,4.0,988.912,247.228,0.0489228665307593,68.64922086243051,A,0.0004892286653075,0.6864922086243052,4.0,1.0,1.0,4.0,Uitgeschakeld,BECK_AX8206-0100,1536.92,Custom approved,Beckhoff Automation B.V.,630-Automation," 768,46",0 dagen,10.0,1.0,2024-12-20,
000666541,"Conveyor belt, welded",3,Wear,1.0,1305.88,1.0,261.176,261.176,0.0516829751850017,66.74019983935601,A,0.00051682975185,0.6674019983935601,1.0,1.0,1.0,1.0,Uitgeschakeld,000666541,1548.64,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 418,55",0 dagen,7.0,0.0,2024-08-05,
KEBA_HCS01-W009-M,Converter HCS01-9A STO MEM,Onbekend,Onbekend,4.0,5301.650000000001,2.0,1060.33,530.1650000000001,0.1049120307338976,43.28639579696792,A,0.0010491203073389,0.4328639579696792,4.0,2.0,3.0,2.0,Geselecteerd,KEBA_HCS01-W009-M,1564.0,Custom approved,ABI B.V.,610-Motor control," 782,00",0 dagen,10.0,1.0,2023-01-06,
MOTSBERVRDM39135#,Stepping motor with planetary equa.,Onbekend,Onbekend,2.0,1212.85,2.0,242.57,121.285,0.0240005576519777,86.71182979868351,B,0.0002400055765197,0.867118297986835,2.0,1.0,1.0,2.0,Geselecteerd,MOTSBERVRDM39135#,1564.0,Custom approved,ABI B.V.,310-Electric motor," 782,00",31 dagen,10.0,1.0,2024-11-04,
BELTENDL-00000272,"Transport belt endless, VLV welded",3,Wear,1.0,1296.96,1.0,259.392,259.392,0.0513299472355345,67.04891090802775,A,0.0005132994723553,0.6704891090802775,1.0,1.0,1.0,1.0,Uitgeschakeld,BELTENDL-00000272,1565.33,Custom approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 423,06",0 dagen,7.0,1.0,2022-01-07,
REX_01-28AV20-E01,Servo Controller W0028-A-03-E-S3-EC-NN-L4-NN-FW,3,Wear,6.0,5778.01,6.0,1155.602,192.6003333333333,0.0381128367395538,76.37906833979578,A,0.0003811283673955,0.7637906833979577,6.0,1.0,1.0,6.0,Uitgeschakeld,REX_01-28AV20-E01,1572.7,Standard Approved,Bosch Rexroth B.V.,610-Motor control," 808,37",0 dagen,10.0,0.0,2026-04-02,
SIE_6AV7862-2BD00-0AA0,"Monitor 15,6 IFP1500 Basic Flat Panel",1,Critical,2.0,2647.06,2.0,529.412,264.706,0.0523815114303039,66.53255337723346,A,0.000523815114303,0.6653255337723345,2.0,1.0,1.0,2.0,Uitgeschakeld,SIE_6AV7862-2BD00-0AA0,1576.0,Custom Approved,Solar Nederland B.V.,630-Automation," 788,00",0 dagen,10.0,0.0,2024-10-23,
BELTENDL-00000399,"Conveyor belt, welded",3,Wear,8.0,38043.17,2.0,7608.634,3804.317,0.7528196354446052,4.403786404742551,A,0.007528196354446,0.0440378640474255,8.0,4.0,7.0,2.0,Uitgeschakeld,BELTENDL-00000399,1581.72,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 427,49",0 dagen,7.0,1.0,2024-05-21,
VENSNORP72F3GCPFB,"Air valve, soft-start",2,Wear,1.0,669.96,1.0,133.992,133.992,0.0265150902494438,84.79376437680006,B,0.0002651509024944,0.8479376437680005,1.0,1.0,1.0,1.0,Uitgeschakeld,VENSNORP72F3GCPFB,1610.88,Custom Approved,Norgren B.V.,500-Air supply," 805,44",25 dagen,8.0,1.0,2023-09-04,
000687550,"Conveyor belt, welded",3,Wear,2.0,2861.38,1.0,572.2760000000001,572.2760000000001,0.1132451921576716,40.77037697534095,A,0.0011324519215767,0.4077037697534095,2.0,2.0,2.0,1.0,Uitgeschakeld,000687550,1634.07,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 448,26",0 dagen,7.0,0.0,2026-02-16,
